icd10parent,icd10parentdesc,icd10children1,icd10children1desc,icd10children2,icd10children2desc
A00-B99,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A26,Erysipeloid
A00-B99,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A27,Leptospirosis
A00-B99,Certain infectious and parasitic diseases,A20-A28,Certain zoonotic bacterial diseases,A28,"Other zoonotic bacterial diseases, not elsewhere classified"
A00-B99,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A30,Leprosy [Hansen's disease]
A00-B99,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A31,Infection due to other mycobacteria
A00-B99,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A32,Listeriosis
A00-B99,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A33,Tetanus neonatorum
A00-B99,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A34,Obstetrical tetanus
A00-B99,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A35,Other tetanus
A00-B99,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A36,Diphtheria
A00-B99,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A37,Whooping cough
A00-B99,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A38,Scarlet fever
A00-B99,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A39,Meningococcal infection
A00-B99,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A40,Streptococcal sepsis
A00-B99,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A41,Other sepsis
A00-B99,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A42,Actinomycosis
A00-B99,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A43,Nocardiosis
A00-B99,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A44,Bartonellosis
A00-B99,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A46,Erysipelas
A00-B99,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A48,"Other bacterial diseases, not elsewhere classified"
A00-B99,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A49,Bacterial infection of unspecified site
A00-B99,Certain infectious and parasitic diseases,A50-A64,Infections with a predominantly sexual mode of transmission,A50,Congenital syphilis
A00-B99,Certain infectious and parasitic diseases,A50-A64,Infections with a predominantly sexual mode of transmission,A51,Early syphilis
A00-B99,Certain infectious and parasitic diseases,A50-A64,Infections with a predominantly sexual mode of transmission,A52,Late syphilis
A00-B99,Certain infectious and parasitic diseases,A50-A64,Infections with a predominantly sexual mode of transmission,A53,Other and unspecified syphilis
A00-B99,Certain infectious and parasitic diseases,A50-A64,Infections with a predominantly sexual mode of transmission,A54,Gonococcal infection
A00-B99,Certain infectious and parasitic diseases,A50-A64,Infections with a predominantly sexual mode of transmission,A55,Chlamydial lymphogranuloma (venereum)
A00-B99,Certain infectious and parasitic diseases,A50-A64,Infections with a predominantly sexual mode of transmission,A56,Other sexually transmitted chlamydial diseases
A00-B99,Certain infectious and parasitic diseases,A50-A64,Infections with a predominantly sexual mode of transmission,A57,Chancroid
A00-B99,Certain infectious and parasitic diseases,A50-A64,Infections with a predominantly sexual mode of transmission,A58,Granuloma inguinale
A00-B99,Certain infectious and parasitic diseases,A50-A64,Infections with a predominantly sexual mode of transmission,A59,Trichomoniasis
A00-B99,Certain infectious and parasitic diseases,A50-A64,Infections with a predominantly sexual mode of transmission,A60,Anogenital herpesviral [herpes simplex] infections
A00-B99,Certain infectious and parasitic diseases,A50-A64,Infections with a predominantly sexual mode of transmission,A63,"Other predominantly sexually transmitted diseases, not elsewhere classified"
A00-B99,Certain infectious and parasitic diseases,A50-A64,Infections with a predominantly sexual mode of transmission,A64,Unspecified sexually transmitted disease
A00-B99,Certain infectious and parasitic diseases,A65-A69,Other spirochetal diseases,A65,Nonvenereal syphilis
A00-B99,Certain infectious and parasitic diseases,A65-A69,Other spirochetal diseases,A66,Yaws
A00-B99,Certain infectious and parasitic diseases,A65-A69,Other spirochetal diseases,A67,Pinta [carate]
A00-B99,Certain infectious and parasitic diseases,A65-A69,Other spirochetal diseases,A68,Relapsing fevers
A00-B99,Certain infectious and parasitic diseases,A65-A69,Other spirochetal diseases,A69,Other spirochetal infections
A00-B99,Certain infectious and parasitic diseases,A70-A74,Other diseases caused by chlamydiae,A70,Chlamydia psittaci infections
A00-B99,Certain infectious and parasitic diseases,A70-A74,Other diseases caused by chlamydiae,A71,Trachoma
A00-B99,Certain infectious and parasitic diseases,A70-A74,Other diseases caused by chlamydiae,A74,Other diseases caused by chlamydiae
A00-B99,Certain infectious and parasitic diseases,A75-A79,Rickettsioses,A75,Typhus fever
A00-B99,Certain infectious and parasitic diseases,A75-A79,Rickettsioses,A77,Spotted fever [tick-borne rickettsioses]
A00-B99,Certain infectious and parasitic diseases,A75-A79,Rickettsioses,A78,Q fever
A00-B99,Certain infectious and parasitic diseases,A75-A79,Rickettsioses,A79,Other rickettsioses
A00-B99,Certain infectious and parasitic diseases,A80-A89,Viral and prion infections of the central nervous system,A80,Acute poliomyelitis
A00-B99,Certain infectious and parasitic diseases,A80-A89,Viral and prion infections of the central nervous system,A81,Atypical virus infections of central nervous system
A00-B99,Certain infectious and parasitic diseases,A80-A89,Viral and prion infections of the central nervous system,A82,Rabies
A00-B99,Certain infectious and parasitic diseases,A80-A89,Viral and prion infections of the central nervous system,A83,Mosquito-borne viral encephalitis
A00-B99,Certain infectious and parasitic diseases,A80-A89,Viral and prion infections of the central nervous system,A84,Tick-borne viral encephalitis
A00-B99,Certain infectious and parasitic diseases,A80-A89,Viral and prion infections of the central nervous system,A85,"Other viral encephalitis, not elsewhere classified"
A00-B99,Certain infectious and parasitic diseases,A80-A89,Viral and prion infections of the central nervous system,A86,Unspecified viral encephalitis
A00-B99,Certain infectious and parasitic diseases,A80-A89,Viral and prion infections of the central nervous system,A87,Viral meningitis
A00-B99,Certain infectious and parasitic diseases,A80-A89,Viral and prion infections of the central nervous system,A88,"Other viral infections of central nervous system, not elsewhere classified"
A00-B99,Certain infectious and parasitic diseases,A80-A89,Viral and prion infections of the central nervous system,A89,Unspecified viral infection of central nervous system
A00-B99,Certain infectious and parasitic diseases,A90-A99,Arthropod-borne viral fevers and viral hemorrhagic fevers,A90,Dengue fever [classical dengue]
A00-B99,Certain infectious and parasitic diseases,A90-A99,Arthropod-borne viral fevers and viral hemorrhagic fevers,A91,Dengue hemorrhagic fever
A00-B99,Certain infectious and parasitic diseases,A90-A99,Arthropod-borne viral fevers and viral hemorrhagic fevers,A92,Other mosquito-borne viral fevers
A00-B99,Certain infectious and parasitic diseases,A90-A99,Arthropod-borne viral fevers and viral hemorrhagic fevers,A93,"Other arthropod-borne viral fevers, not elsewhere classified"
A00-B99,Certain infectious and parasitic diseases,A90-A99,Arthropod-borne viral fevers and viral hemorrhagic fevers,A94,Unspecified arthropod-borne viral fever
A00-B99,Certain infectious and parasitic diseases,A90-A99,Arthropod-borne viral fevers and viral hemorrhagic fevers,A95,Yellow fever
A00-B99,Certain infectious and parasitic diseases,A90-A99,Arthropod-borne viral fevers and viral hemorrhagic fevers,A96,Arenaviral hemorrhagic fever
A00-B99,Certain infectious and parasitic diseases,A90-A99,Arthropod-borne viral fevers and viral hemorrhagic fevers,A98,"Other viral hemorrhagic fevers, not elsewhere classified"
A00-B99,Certain infectious and parasitic diseases,A90-A99,Arthropod-borne viral fevers and viral hemorrhagic fevers,A99,Unspecified viral hemorrhagic fever
A00-B99,Certain infectious and parasitic diseases,B00-B09,Viral infections characterized by skin and mucous membrane lesions,B00,Herpesviral [herpes simplex] infections
A00-B99,Certain infectious and parasitic diseases,B00-B09,Viral infections characterized by skin and mucous membrane lesions,B01,Varicella [chickenpox]
A00-B99,Certain infectious and parasitic diseases,B00-B09,Viral infections characterized by skin and mucous membrane lesions,B02,Zoster [herpes zoster]
A00-B99,Certain infectious and parasitic diseases,B00-B09,Viral infections characterized by skin and mucous membrane lesions,B03,Smallpox
A00-B99,Certain infectious and parasitic diseases,B00-B09,Viral infections characterized by skin and mucous membrane lesions,B04,Monkeypox
A00-B99,Certain infectious and parasitic diseases,B00-B09,Viral infections characterized by skin and mucous membrane lesions,B05,Measles
A00-B99,Certain infectious and parasitic diseases,B00-B09,Viral infections characterized by skin and mucous membrane lesions,B06,Rubella [German measles]
A00-B99,Certain infectious and parasitic diseases,B00-B09,Viral infections characterized by skin and mucous membrane lesions,B07,Viral warts
A00-B99,Certain infectious and parasitic diseases,B00-B09,Viral infections characterized by skin and mucous membrane lesions,B08,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified"
A00-B99,Certain infectious and parasitic diseases,B00-B09,Viral infections characterized by skin and mucous membrane lesions,B09,Unspecified viral infection characterized by skin and mucous membrane lesions
A00-B99,Certain infectious and parasitic diseases,B10-B10,Other human herpesviruses,B10,Other human herpesviruses
A00-B99,Certain infectious and parasitic diseases,B15-B19,Viral hepatitis,B15,Acute hepatitis A
A00-B99,Certain infectious and parasitic diseases,B15-B19,Viral hepatitis,B16,Acute hepatitis B
A00-B99,Certain infectious and parasitic diseases,B15-B19,Viral hepatitis,B17,Other acute viral hepatitis
A00-B99,Certain infectious and parasitic diseases,B15-B19,Viral hepatitis,B18,Chronic viral hepatitis
A00-B99,Certain infectious and parasitic diseases,B15-B19,Viral hepatitis,B19,Unspecified viral hepatitis
A00-B99,Certain infectious and parasitic diseases,B20-B20,Human immunodeficiency virus [HIV] disease,B20,Human immunodeficiency virus [HIV] disease
A00-B99,Certain infectious and parasitic diseases,B25-B34,Other viral diseases,B25,Cytomegaloviral disease
A00-B99,Certain infectious and parasitic diseases,B25-B34,Other viral diseases,B26,Mumps
A00-B99,Certain infectious and parasitic diseases,B25-B34,Other viral diseases,B27,Infectious mononucleosis
A00-B99,Certain infectious and parasitic diseases,B25-B34,Other viral diseases,B30,Viral conjunctivitis
A00-B99,Certain infectious and parasitic diseases,B25-B34,Other viral diseases,B33,"Other viral diseases, not elsewhere classified"
A00-B99,Certain infectious and parasitic diseases,B25-B34,Other viral diseases,B34,Viral infection of unspecified site
A00-B99,Certain infectious and parasitic diseases,B35-B49,Mycoses,B35,Dermatophytosis
A00-B99,Certain infectious and parasitic diseases,B35-B49,Mycoses,B36,Other superficial mycoses
A00-B99,Certain infectious and parasitic diseases,B35-B49,Mycoses,B37,Candidiasis
A00-B99,Certain infectious and parasitic diseases,B35-B49,Mycoses,B38,Coccidioidomycosis
A00-B99,Certain infectious and parasitic diseases,B35-B49,Mycoses,B39,Histoplasmosis
A00-B99,Certain infectious and parasitic diseases,B35-B49,Mycoses,B40,Blastomycosis
A00-B99,Certain infectious and parasitic diseases,B35-B49,Mycoses,B41,Paracoccidioidomycosis
A00-B99,Certain infectious and parasitic diseases,B35-B49,Mycoses,B42,Sporotrichosis
A00-B99,Certain infectious and parasitic diseases,B35-B49,Mycoses,B43,Chromomycosis and pheomycotic abscess
A00-B99,Certain infectious and parasitic diseases,B35-B49,Mycoses,B44,Aspergillosis
A00-B99,Certain infectious and parasitic diseases,B35-B49,Mycoses,B45,Cryptococcosis
A00-B99,Certain infectious and parasitic diseases,B35-B49,Mycoses,B46,Zygomycosis
A00-B99,Certain infectious and parasitic diseases,B35-B49,Mycoses,B47,Mycetoma
A00-B99,Certain infectious and parasitic diseases,B35-B49,Mycoses,B48,"Other mycoses, not elsewhere classified"
A00-B99,Certain infectious and parasitic diseases,B35-B49,Mycoses,B49,Unspecified mycosis
A00-B99,Certain infectious and parasitic diseases,B50-B64,Protozoal diseases,B50,Plasmodium falciparum malaria
A00-B99,Certain infectious and parasitic diseases,B50-B64,Protozoal diseases,B51,Plasmodium vivax malaria
A00-B99,Certain infectious and parasitic diseases,B50-B64,Protozoal diseases,B52,Plasmodium malariae malaria
A00-B99,Certain infectious and parasitic diseases,B50-B64,Protozoal diseases,B53,Other specified malaria
A00-B99,Certain infectious and parasitic diseases,B50-B64,Protozoal diseases,B54,Unspecified malaria
A00-B99,Certain infectious and parasitic diseases,B50-B64,Protozoal diseases,B55,Leishmaniasis
A00-B99,Certain infectious and parasitic diseases,B50-B64,Protozoal diseases,B56,African trypanosomiasis
A00-B99,Certain infectious and parasitic diseases,B50-B64,Protozoal diseases,B57,Chagas' disease
A00-B99,Certain infectious and parasitic diseases,B50-B64,Protozoal diseases,B58,Toxoplasmosis
A00-B99,Certain infectious and parasitic diseases,B50-B64,Protozoal diseases,B59,Pneumocystosis
A00-B99,Certain infectious and parasitic diseases,B50-B64,Protozoal diseases,B60,"Other protozoal diseases, not elsewhere classified"
A00-B99,Certain infectious and parasitic diseases,B50-B64,Protozoal diseases,B64,Unspecified protozoal disease
A00-B99,Certain infectious and parasitic diseases,B65-B83,Helminthiases,B65,Schistosomiasis [bilharziasis]
A00-B99,Certain infectious and parasitic diseases,B65-B83,Helminthiases,B66,Other fluke infections
A00-B99,Certain infectious and parasitic diseases,B65-B83,Helminthiases,B67,Echinococcosis
A00-B99,Certain infectious and parasitic diseases,B65-B83,Helminthiases,B68,Taeniasis
A00-B99,Certain infectious and parasitic diseases,B65-B83,Helminthiases,B69,Cysticercosis
A00-B99,Certain infectious and parasitic diseases,B65-B83,Helminthiases,B70,Diphyllobothriasis and sparganosis
A00-B99,Certain infectious and parasitic diseases,B65-B83,Helminthiases,B71,Other cestode infections
A00-B99,Certain infectious and parasitic diseases,B65-B83,Helminthiases,B72,Dracunculiasis
A00-B99,Certain infectious and parasitic diseases,B65-B83,Helminthiases,B73,Onchocerciasis
A00-B99,Certain infectious and parasitic diseases,B65-B83,Helminthiases,B74,Filariasis
A00-B99,Certain infectious and parasitic diseases,B65-B83,Helminthiases,B75,Trichinellosis
A00-B99,Certain infectious and parasitic diseases,B65-B83,Helminthiases,B76,Hookworm diseases
A00-B99,Certain infectious and parasitic diseases,B65-B83,Helminthiases,B77,Ascariasis
A00-B99,Certain infectious and parasitic diseases,B65-B83,Helminthiases,B78,Strongyloidiasis
A00-B99,Certain infectious and parasitic diseases,B65-B83,Helminthiases,B79,Trichuriasis
A00-B99,Certain infectious and parasitic diseases,B65-B83,Helminthiases,B80,Enterobiasis
A00-B99,Certain infectious and parasitic diseases,B65-B83,Helminthiases,B81,"Other intestinal helminthiases, not elsewhere classified"
A00-B99,Certain infectious and parasitic diseases,B65-B83,Helminthiases,B82,Unspecified intestinal parasitism
A00-B99,Certain infectious and parasitic diseases,B65-B83,Helminthiases,B83,Other helminthiases
A00-B99,Certain infectious and parasitic diseases,B85-B89,"Pediculosis, acariasis and other infestations",B85,Pediculosis and phthiriasis
A00-B99,Certain infectious and parasitic diseases,B85-B89,"Pediculosis, acariasis and other infestations",B86,Scabies
A00-B99,Certain infectious and parasitic diseases,B85-B89,"Pediculosis, acariasis and other infestations",B87,Myiasis
A00-B99,Certain infectious and parasitic diseases,B85-B89,"Pediculosis, acariasis and other infestations",B88,Other infestations
A00-B99,Certain infectious and parasitic diseases,B85-B89,"Pediculosis, acariasis and other infestations",B89,Unspecified parasitic disease
A00-B99,Certain infectious and parasitic diseases,B90-B94,Sequelae of infectious and parasitic diseases,B90,Sequelae of tuberculosis
A00-B99,Certain infectious and parasitic diseases,B90-B94,Sequelae of infectious and parasitic diseases,B91,Sequelae of poliomyelitis
A00-B99,Certain infectious and parasitic diseases,B90-B94,Sequelae of infectious and parasitic diseases,B92,Sequelae of leprosy
A00-B99,Certain infectious and parasitic diseases,B90-B94,Sequelae of infectious and parasitic diseases,B94,Sequelae of other and unspecified infectious and parasitic diseases
A00-B99,Certain infectious and parasitic diseases,B95-B97,Bacterial and viral infectious agents,B95,"Streptococcus, Staphylococcus, and Enterococcus as the cause of diseases classified elsewhere"
A00-B99,Certain infectious and parasitic diseases,B95-B97,Bacterial and viral infectious agents,B96,Other bacterial agents as the cause of diseases classified elsewhere
A00-B99,Certain infectious and parasitic diseases,B95-B97,Bacterial and viral infectious agents,B97,Viral agents as the cause of diseases classified elsewhere
A00-B99,Certain infectious and parasitic diseases,B99-B99,Other infectious diseases,B99,Other and unspecified infectious diseases
C00-D49,Neoplasms,C00-C14,"Malignant neoplasms of lip, oral cavity and pharynx",C00,Malignant neoplasm of lip
C00-D49,Neoplasms,C00-C14,"Malignant neoplasms of lip, oral cavity and pharynx",C01,Malignant neoplasm of base of tongue
C00-D49,Neoplasms,C00-C14,"Malignant neoplasms of lip, oral cavity and pharynx",C02,Malignant neoplasm of other and unspecified parts of tongue
C00-D49,Neoplasms,C00-C14,"Malignant neoplasms of lip, oral cavity and pharynx",C03,Malignant neoplasm of gum
C00-D49,Neoplasms,C00-C14,"Malignant neoplasms of lip, oral cavity and pharynx",C04,Malignant neoplasm of floor of mouth
C00-D49,Neoplasms,C00-C14,"Malignant neoplasms of lip, oral cavity and pharynx",C05,Malignant neoplasm of palate
C00-D49,Neoplasms,C00-C14,"Malignant neoplasms of lip, oral cavity and pharynx",C06,Malignant neoplasm of other and unspecified parts of mouth
C00-D49,Neoplasms,C00-C14,"Malignant neoplasms of lip, oral cavity and pharynx",C07,Malignant neoplasm of parotid gland
C00-D49,Neoplasms,C00-C14,"Malignant neoplasms of lip, oral cavity and pharynx",C08,Malignant neoplasm of other and unspecified major salivary glands
C00-D49,Neoplasms,C00-C14,"Malignant neoplasms of lip, oral cavity and pharynx",C09,Malignant neoplasm of tonsil
C00-D49,Neoplasms,C00-C14,"Malignant neoplasms of lip, oral cavity and pharynx",C10,Malignant neoplasm of oropharynx
C00-D49,Neoplasms,C00-C14,"Malignant neoplasms of lip, oral cavity and pharynx",C11,Malignant neoplasm of nasopharynx
C00-D49,Neoplasms,C00-C14,"Malignant neoplasms of lip, oral cavity and pharynx",C12,Malignant neoplasm of pyriform sinus
C00-D49,Neoplasms,C00-C14,"Malignant neoplasms of lip, oral cavity and pharynx",C13,Malignant neoplasm of hypopharynx
C00-D49,Neoplasms,C00-C14,"Malignant neoplasms of lip, oral cavity and pharynx",C14,"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx"
C00-D49,Neoplasms,C15-C26,Malignant neoplasms of digestive organs,C15,Malignant neoplasm of esophagus
C00-D49,Neoplasms,C15-C26,Malignant neoplasms of digestive organs,C16,Malignant neoplasm of stomach
C00-D49,Neoplasms,C15-C26,Malignant neoplasms of digestive organs,C17,Malignant neoplasm of small intestine
C00-D49,Neoplasms,C15-C26,Malignant neoplasms of digestive organs,C18,Malignant neoplasm of colon
C00-D49,Neoplasms,C15-C26,Malignant neoplasms of digestive organs,C19,Malignant neoplasm of rectosigmoid junction
C00-D49,Neoplasms,C15-C26,Malignant neoplasms of digestive organs,C20,Malignant neoplasm of rectum
C00-D49,Neoplasms,C15-C26,Malignant neoplasms of digestive organs,C21,Malignant neoplasm of anus and anal canal
C00-D49,Neoplasms,C15-C26,Malignant neoplasms of digestive organs,C22,Malignant neoplasm of liver and intrahepatic bile ducts
C00-D49,Neoplasms,C15-C26,Malignant neoplasms of digestive organs,C23,Malignant neoplasm of gallbladder
C00-D49,Neoplasms,C15-C26,Malignant neoplasms of digestive organs,C24,Malignant neoplasm of other and unspecified parts of biliary tract
C00-D49,Neoplasms,C15-C26,Malignant neoplasms of digestive organs,C25,Malignant neoplasm of pancreas
C00-D49,Neoplasms,C15-C26,Malignant neoplasms of digestive organs,C26,Malignant neoplasm of other and ill-defined digestive organs
C00-D49,Neoplasms,C30-C39,Malignant neoplasms of respiratory and intrathoracic organs,C30,Malignant neoplasm of nasal cavity and middle ear
C00-D49,Neoplasms,C30-C39,Malignant neoplasms of respiratory and intrathoracic organs,C31,Malignant neoplasm of accessory sinuses
C00-D49,Neoplasms,C30-C39,Malignant neoplasms of respiratory and intrathoracic organs,C32,Malignant neoplasm of larynx
C00-D49,Neoplasms,C30-C39,Malignant neoplasms of respiratory and intrathoracic organs,C33,Malignant neoplasm of trachea
C00-D49,Neoplasms,C30-C39,Malignant neoplasms of respiratory and intrathoracic organs,C34,Malignant neoplasm of bronchus and lung
C00-D49,Neoplasms,C30-C39,Malignant neoplasms of respiratory and intrathoracic organs,C37,Malignant neoplasm of thymus
C00-D49,Neoplasms,C30-C39,Malignant neoplasms of respiratory and intrathoracic organs,C38,"Malignant neoplasm of heart, mediastinum and pleura"
C00-D49,Neoplasms,C30-C39,Malignant neoplasms of respiratory and intrathoracic organs,C39,Malignant neoplasm of other and ill-defined sites in the respiratory system and intrathoracic organs
C00-D49,Neoplasms,C40-C41,Malignant neoplasms of bone and articular cartilage,C40,Malignant neoplasm of bone and articular cartilage of limbs
C00-D49,Neoplasms,C40-C41,Malignant neoplasms of bone and articular cartilage,C41,Malignant neoplasm of bone and articular cartilage of other and unspecified sites
C00-D49,Neoplasms,C43-C44,Melanoma and other malignant neoplasms of skin,C43,Malignant melanoma of skin
C00-D49,Neoplasms,C43-C44,Melanoma and other malignant neoplasms of skin,C44,Other and unspecified malignant neoplasm of skin
C00-D49,Neoplasms,C43-C44,Melanoma and other malignant neoplasms of skin,C4A,Merkel cell carcinoma
C00-D49,Neoplasms,C45-C49,Malignant neoplasms of mesothelial and soft tissue,C45,Mesothelioma
C00-D49,Neoplasms,C45-C49,Malignant neoplasms of mesothelial and soft tissue,C46,Kaposi's sarcoma
C00-D49,Neoplasms,C45-C49,Malignant neoplasms of mesothelial and soft tissue,C47,Malignant neoplasm of peripheral nerves and autonomic nervous system
C00-D49,Neoplasms,C45-C49,Malignant neoplasms of mesothelial and soft tissue,C48,Malignant neoplasm of retroperitoneum and peritoneum
C00-D49,Neoplasms,C45-C49,Malignant neoplasms of mesothelial and soft tissue,C49,Malignant neoplasm of other connective and soft tissue
C00-D49,Neoplasms,C50-C50,Malignant neoplasms of breast,C50,Malignant neoplasm of breast
C00-D49,Neoplasms,C51-C58,Malignant neoplasms of female genital organs,C51,Malignant neoplasm of vulva
C00-D49,Neoplasms,C51-C58,Malignant neoplasms of female genital organs,C52,Malignant neoplasm of vagina
C00-D49,Neoplasms,C51-C58,Malignant neoplasms of female genital organs,C53,Malignant neoplasm of cervix uteri
C00-D49,Neoplasms,C51-C58,Malignant neoplasms of female genital organs,C54,Malignant neoplasm of corpus uteri
C00-D49,Neoplasms,C51-C58,Malignant neoplasms of female genital organs,C55,"Malignant neoplasm of uterus, part unspecified"
C00-D49,Neoplasms,C51-C58,Malignant neoplasms of female genital organs,C56,Malignant neoplasm of ovary
C00-D49,Neoplasms,C51-C58,Malignant neoplasms of female genital organs,C57,Malignant neoplasm of other and unspecified female genital organs
C00-D49,Neoplasms,C51-C58,Malignant neoplasms of female genital organs,C58,Malignant neoplasm of placenta
C00-D49,Neoplasms,C60-C63,Malignant neoplasms of male genital organs,C60,Malignant neoplasm of penis
C00-D49,Neoplasms,C60-C63,Malignant neoplasms of male genital organs,C61,Malignant neoplasm of prostate
C00-D49,Neoplasms,C60-C63,Malignant neoplasms of male genital organs,C62,Malignant neoplasm of testis
C00-D49,Neoplasms,C60-C63,Malignant neoplasms of male genital organs,C63,Malignant neoplasm of other and unspecified male genital organs
C00-D49,Neoplasms,C64-C68,Malignant neoplasms of urinary tract,C64,"Malignant neoplasm of kidney, except renal pelvis"
C00-D49,Neoplasms,C64-C68,Malignant neoplasms of urinary tract,C65,Malignant neoplasm of renal pelvis
C00-D49,Neoplasms,C64-C68,Malignant neoplasms of urinary tract,C66,Malignant neoplasm of ureter
C00-D49,Neoplasms,C64-C68,Malignant neoplasms of urinary tract,C67,Malignant neoplasm of bladder
C00-D49,Neoplasms,C64-C68,Malignant neoplasms of urinary tract,C68,Malignant neoplasm of other and unspecified urinary organs
C00-D49,Neoplasms,C69-C72,"Malignant neoplasms of eye, brain and other parts of central nervous system",C69,Malignant neoplasm of eye and adnexa
C00-D49,Neoplasms,C69-C72,"Malignant neoplasms of eye, brain and other parts of central nervous system",C70,Malignant neoplasm of meninges
C00-D49,Neoplasms,C69-C72,"Malignant neoplasms of eye, brain and other parts of central nervous system",C71,Malignant neoplasm of brain
C00-D49,Neoplasms,C69-C72,"Malignant neoplasms of eye, brain and other parts of central nervous system",C72,"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system"
C00-D49,Neoplasms,C73-C75,Malignant neoplasms of thyroid and other endocrine glands,C73,Malignant neoplasm of thyroid gland
C00-D49,Neoplasms,C73-C75,Malignant neoplasms of thyroid and other endocrine glands,C74,Malignant neoplasm of adrenal gland
C00-D49,Neoplasms,C73-C75,Malignant neoplasms of thyroid and other endocrine glands,C75,Malignant neoplasm of other endocrine glands and related structures
C00-D49,Neoplasms,C76-C80,"Malignant neoplasms of ill-defined, other secondary and unspecified sites",C76,Malignant neoplasm of other and ill-defined sites
C00-D49,Neoplasms,C76-C80,"Malignant neoplasms of ill-defined, other secondary and unspecified sites",C77,Secondary and unspecified malignant neoplasm of lymph nodes
C00-D49,Neoplasms,C76-C80,"Malignant neoplasms of ill-defined, other secondary and unspecified sites",C78,Secondary malignant neoplasm of respiratory and digestive organs
C00-D49,Neoplasms,C76-C80,"Malignant neoplasms of ill-defined, other secondary and unspecified sites",C79,Secondary malignant neoplasm of other and unspecified sites
C00-D49,Neoplasms,C76-C80,"Malignant neoplasms of ill-defined, other secondary and unspecified sites",C80,Malignant neoplasm without specification of site
C00-D49,Neoplasms,C7A-C7A,Malignant neuroendocrine tumors,C7A,Malignant neuroendocrine tumors
C00-D49,Neoplasms,C7B-C7B,Secondary neuroendocrine tumors,C7B,Secondary neuroendocrine tumors
